[12:01:36.222][INFO] Logger initialized. Log file: archi.log
[12:01:36.226][INFO] Application init...
[12:01:36.378][INFO] OpenGL 3.3
[12:01:36.397][INFO] Entering state: Loading
[12:01:36.397][INFO] Loading resources (fake)...
[12:01:36.397][INFO] Application init done
[12:01:36.397][INFO] Application run...
[12:01:38.879][TRACE] dt=0.0055805
[12:01:38.885][TRACE] dt=0.0056646
[12:01:38.891][TRACE] dt=0.0054518
[12:01:38.896][TRACE] dt=0.0055316
[12:01:38.902][TRACE] dt=0.0055447
[12:01:38.907][TRACE] dt=0.0055832
[12:01:38.913][INFO] deltaTime (s) last frame: 0.0055557 | approx FPS: 179.995
[12:01:38.918][TRACE] dt=0.005547
[12:01:38.924][TRACE] dt=0.0054939
[12:01:38.929][TRACE] dt=0.005606
[12:01:38.935][TRACE] dt=0.0055623
[12:01:38.941][TRACE] dt=0.005669
[12:01:38.946][TRACE] dt=0.0054395
[12:01:38.952][TRACE] dt=0.0055543
[12:01:38.957][TRACE] dt=0.0055609
[12:01:38.963][TRACE] dt=0.0057087
[12:01:38.968][TRACE] dt=0.0053993
[12:01:38.974][TRACE] dt=0.0055603
[12:01:38.979][TRACE] dt=0.0055411
[12:01:38.985][TRACE] dt=0.0055587
[12:01:38.991][TRACE] dt=0.0055718
[12:01:38.996][TRACE] dt=0.0055474
[12:01:39.002][TRACE] dt=0.0055533
[12:01:39.007][TRACE] dt=0.005539
[12:01:39.013][TRACE] dt=0.0055575
[12:01:39.018][TRACE] dt=0.0055639
[12:01:39.024][TRACE] dt=0.0055216
[12:01:39.029][TRACE] dt=0.0056231
[12:01:39.035][TRACE] dt=0.0055277
[12:01:39.041][TRACE] dt=0.005682
[12:01:39.046][TRACE] dt=0.0054356
[12:01:39.052][TRACE] dt=0.0055621
[12:01:39.057][TRACE] dt=0.0055397
[12:01:39.063][TRACE] dt=0.005552
[12:01:39.068][TRACE] dt=0.0055382
[12:01:39.074][TRACE] dt=0.0055756
[12:01:39.079][TRACE] dt=0.0055739
[12:01:39.085][TRACE] dt=0.0056349
[12:01:39.090][TRACE] dt=0.0054457
[12:01:39.096][TRACE] dt=0.0055644
[12:01:39.102][TRACE] dt=0.0055682
[12:01:39.107][TRACE] dt=0.005554
[12:01:39.113][TRACE] dt=0.0055655
[12:01:39.118][TRACE] dt=0.0055426
[12:01:39.124][TRACE] dt=0.0055415
[12:01:39.129][TRACE] dt=0.0055617
[12:01:39.135][TRACE] dt=0.0055554
[12:01:39.141][TRACE] dt=0.0056366
[12:01:39.146][TRACE] dt=0.0054961
[12:01:39.152][TRACE] dt=0.0055225
[12:01:39.157][TRACE] dt=0.0055823
[12:01:39.163][TRACE] dt=0.0055494
[12:01:39.168][TRACE] dt=0.0055553
[12:01:39.174][TRACE] dt=0.0055379
[12:01:39.179][TRACE] dt=0.0055759
[12:01:39.185][TRACE] dt=0.0055501
[12:01:39.191][TRACE] dt=0.005703
[12:01:39.196][TRACE] dt=0.0054062
[12:01:39.202][TRACE] dt=0.0055575
[12:01:39.207][TRACE] dt=0.0055477
[12:01:39.213][TRACE] dt=0.0055549
[12:01:39.218][TRACE] dt=0.0055696
[12:01:39.224][TRACE] dt=0.0055956
[12:01:39.229][TRACE] dt=0.0055639
[12:01:39.235][TRACE] dt=0.0054976
[12:01:39.241][TRACE] dt=0.0056338
[12:01:39.246][TRACE] dt=0.0054868
[12:01:39.252][TRACE] dt=0.005548
[12:01:39.257][TRACE] dt=0.0055576
[12:01:39.263][TRACE] dt=0.0055502
[12:01:39.268][TRACE] dt=0.0055642
[12:01:39.274][TRACE] dt=0.0055465
[12:01:39.279][TRACE] dt=0.005579
[12:01:39.285][TRACE] dt=0.0055163
[12:01:39.291][TRACE] dt=0.0056013
[12:01:39.296][TRACE] dt=0.0055351
[12:01:39.302][TRACE] dt=0.0055536
[12:01:39.307][TRACE] dt=0.0055513
[12:01:39.313][TRACE] dt=0.0057026
[12:01:39.318][TRACE] dt=0.0053846
[12:01:39.324][TRACE] dt=0.0056471
[12:01:39.329][TRACE] dt=0.0055396
[12:01:39.335][TRACE] dt=0.005524
[12:01:39.341][TRACE] dt=0.0055946
[12:01:39.346][TRACE] dt=0.0055398
[12:01:39.352][TRACE] dt=0.0055484
[12:01:39.357][TRACE] dt=0.0056163
[12:01:39.363][TRACE] dt=0.0055027
[12:01:39.368][TRACE] dt=0.005584
[12:01:39.374][TRACE] dt=0.0055067
[12:01:39.379][TRACE] dt=0.0055587
[12:01:39.385][TRACE] dt=0.0055721
[12:01:39.391][TRACE] dt=0.0055621
[12:01:39.396][TRACE] dt=0.005508
[12:01:39.402][TRACE] dt=0.0055422
[12:01:39.407][TRACE] dt=0.0055206
[12:01:39.413][TRACE] dt=0.0056087
[12:01:39.418][INFO] deltaTime (s) last frame: 0.0055558 | approx FPS: 179.992
[12:01:39.424][TRACE] dt=0.0055568
[12:01:39.429][TRACE] dt=0.0056233
[12:01:39.435][TRACE] dt=0.0055858
[12:01:39.441][TRACE] dt=0.0055831
[12:01:39.446][TRACE] dt=0.0054768
[12:01:39.452][TRACE] dt=0.005672
[12:01:39.457][TRACE] dt=0.0055668
[12:01:39.463][TRACE] dt=0.0054659
[12:01:39.468][TRACE] dt=0.0054543
[12:01:39.474][TRACE] dt=0.0055659
[12:01:39.479][TRACE] dt=0.00555
[12:01:39.485][TRACE] dt=0.0055457
[12:01:39.491][TRACE] dt=0.0055914
[12:01:39.496][TRACE] dt=0.0056437
[12:01:39.502][TRACE] dt=0.0054686
[12:01:39.507][TRACE] dt=0.0055544
